SubjID,CaudalMiddleFrontal.L,EntorhinalCortex.L,PostcentralGyrus.L,LateralFrontalTriangularis.L,SupramarginalGyrus.L,MiddleFILLING.L,Insula.L,LateralOrbitofrontal.L,LateralFrontalOrbitalis.L,MiddleTemporal.L,Pericalcarine.L,Parahippocampal.L,ParacentralGyrus.L,MedialOrbitofrontal.L,Cuneus.L,InferiorTemporal.L,RostralMiddleFrontal.L,RostralAnteriorCingulate.L,IsthmusCingulateGyrus.L,InferiorOccipitalCortex.L,LingualGyrus.L,SuperiorParietal.L,LateralFrontalOpercularis.L,FusiformGyrus.L,CaudalAnteriorCingulate.L,SuperiorFrontalGyrus.L,Precuneus.L,TransverseTemporal.L,PrecentralGyrus.L,InferiorParietal.L,PosteriorCingulate.L,SuperiorTemporal.L,CaudalMiddleFrontal.R,EntorhinalCortex.R,PostcentralGyrus.R,LateralFrontalTriangularis.R,SupramarginalGyrus.R,MiddleFILLING.R,Insula.R,LateralOrbitofrontal.R,LateralFrontalOrbitalis.R,MiddleTemporal.R,Pericalcarine.R,Parahippocampal.R,ParacentralGyrus.R,MedialOrbitofrontal.R,Cuneus.R,InferiorTemporal.R,RostralMiddleFrontal.R,RostralAnteriorCingulate.R,IsthmusCingulateGyrus.R,InferiorOccipitalCortex.R,LingualGyrus.R,SuperiorParietal.R,LateralFrontalOpercularis.R,FusiformGyrus.R,CaudalAnteriorCingulate.R,SuperiorFrontalGyrus.R,Precuneus.R,TransverseTemporal.R,PrecentralGyrus.R,InferiorParietal.R,PosteriorCingulate.R,SuperiorTemporal.R
0050435,3.5382,4.2613,3.2637,3.5738,3.6401,2.1133,4.0092,3.3793,3.5942,3.7906,3.0088,3.0946,3.35,3.2656,3.0466,3.9465,3.417,3.2479,3.3369,3.291,3.1739,3.1723,3.6078,3.6022,3.21,3.6559,3.4455,3.5982,3.353,3.4448,3.2584,3.9068,3.3204,4.0657,2.9814,3.3856,3.346,2.091,3.7539,3.2751,3.6151,3.8464,2.9,3.1528,3.2737,3.2132,2.9501,4.0348,3.3659,3.0218,3.2671,3.1766,3.0223,3.0594,3.3159,3.693,2.8923,3.4603,3.3988,3.5305,3.1392,3.4995,3.1527,3.8516
0051311,3.402,3.9507,3.1666,3.4218,3.4235,2.1058,3.9987,3.3557,3.4226,3.781,2.89,2.787,3.3595,3.1022,3.0603,3.7427,3.2797,3.1491,3.4255,3.1276,3.0422,3.2813,3.4938,3.3916,2.9055,3.4719,3.5789,3.4243,3.3216,3.4265,3.2078,3.7375,3.3366,3.9735,3.0112,3.3321,3.3578,2.0638,3.7644,3.2289,3.413,3.6684,2.9324,2.8681,3.2677,3.0742,3.0171,3.6415,3.1586,2.9316,3.259,3.0692,3.0382,3.1087,3.4087,3.4578,2.9954,3.4166,3.4259,3.3471,3.2534,3.5369,3.2702,3.6823
0050213,3.2926,3.9567,3.2493,3.6722,3.386,1.9939,4.0207,3.6002,3.8599,3.8069,2.8902,3.2182,3.2237,3.3496,3.1839,3.7419,3.6196,3.4269,3.1805,3.202,3.0974,3.1993,3.4133,3.5211,2.9608,3.5404,3.5517,3.5731,3.3236,3.3774,2.9329,3.7673,3.6708,4.2444,3.0991,3.6612,3.7042,2.1319,4.116,3.8318,3.982,4.131,3.2359,3.568,3.3696,3.4368,3.4369,4.0323,3.6499,3.2998,3.5873,3.4707,3.4962,3.3959,3.6257,3.9205,3.3301,3.7497,3.8363,3.7634,3.4433,3.9033,3.1826,4.0007
0051303,3.346,3.4402,3.067,3.2506,3.4184,1.8548,3.1704,3.1207,3.3424,3.5805,2.8849,2.8922,3.227,2.6641,2.9403,3.6065,3.118,2.4536,3.3374,3.0909,2.9615,3.0864,3.3434,3.28,2.6608,3.3553,3.2843,3.4758,3.2241,3.288,2.9732,3.7419,3.4149,3.7854,3.1178,3.2956,3.5849,1.9326,3.0891,3.171,3.4309,3.783,3.0605,2.933,3.1916,2.6981,3.0431,3.884,3.3545,2.4563,3.2907,3.0858,3.1163,3.1662,3.3516,3.5155,2.6779,3.4749,3.3595,3.5648,3.2395,3.4918,3.0263,3.8288
0050745,2.8412,3.8761,2.6892,2.9778,3.0005,2.1288,3.4384,3.3405,3.3514,3.1858,2.9682,3.2222,3.0304,3.1522,2.9868,3.3322,2.902,3.0449,3.281,3.0547,3.0267,2.8029,2.9688,3.2938,2.9765,3.0833,3.1608,3.1501,2.9304,3.2151,3.2237,3.3489,3.2442,3.6571,2.9009,3.3319,3.2669,2.1848,3.6426,3.3424,3.3206,3.5392,3.02,3.2546,3.1222,3.5023,3.1865,3.6737,3.3544,3.1968,3.3505,3.3126,3.1565,3.0516,3.161,3.5773,3.072,3.4189,3.4823,3.4981,3.1185,3.3598,3.2585,3.7608
0050450,3.3986,3.9809,3.0821,3.4841,3.3267,2.1008,3.8167,3.2651,3.5218,3.7293,2.9274,3.1051,3.2127,2.9105,2.8088,3.696,3.2023,2.9721,3.3907,3.1172,3.049,3.0751,3.4857,3.4177,2.9566,3.2896,3.3274,3.3774,3.2957,3.3903,3.079,3.6637,3.4465,3.7711,3.4442,3.392,3.5813,2.056,3.8003,3.3052,3.4284,3.6975,3.0466,3.1069,3.4656,3.1343,2.928,3.8575,3.2449,2.9839,3.358,3.0761,3.0833,3.0734,3.4503,3.3942,3.0071,3.45,3.4617,3.5231,3.5472,3.3732,3.1298,3.6402
0051058,3.2627,3.1111,2.8788,3.2723,3.0033,1.7212,2.8712,3.1003,3.2559,3.1807,2.7014,2.5538,2.79,2.6689,2.6732,3.0239,3.1274,2.4496,2.8534,2.7484,2.6872,2.7613,3.1274,2.9912,2.3828,3.2511,2.9711,3.0105,2.9131,2.8663,2.5862,3.1856,3.0894,2.9985,2.8717,3.146,3.1566,1.6555,2.7462,2.8862,3.1028,3.3052,2.568,2.5187,2.9451,2.651,2.6858,3.1888,3.1297,2.3813,2.7962,2.8111,2.7625,2.9594,3.1395,3.062,2.4581,3.2759,3.0152,2.9673,2.9757,3.0792,2.642,3.1759
0051493,2.9438,3.4065,2.6511,3.1176,3.1559,1.8265,3.2257,2.9421,3.0241,3.3209,2.6133,2.7007,2.6972,2.9273,2.8214,3.2451,3.0457,2.905,2.9627,2.8241,2.8153,2.848,3.1271,3.105,2.8697,3.205,2.9892,2.9519,2.7683,3.0528,2.9442,3.2353,3.0664,3.5519,2.8311,3.1904,3.1913,1.7749,3.3477,3.0578,3.3373,3.4264,2.6994,2.7266,2.9457,2.8512,2.8334,3.4222,3.2232,2.8722,2.6279,3.0614,2.8616,2.8975,3.1443,3.1421,2.8605,3.2517,3.0885,3.1028,2.8527,3.3174,2.7113,3.411
0051226,3.2475,3.7224,3.0657,3.5918,3.4344,1.9771,3.7994,3.3194,3.6167,3.628,2.8156,2.8716,3.365,3.0612,2.9899,3.5858,3.2991,3.0882,3.0443,3.0211,2.9678,3.1707,3.482,3.4259,2.8264,3.472,3.3857,3.6228,3.2623,3.3641,3.0629,3.7857,3.4648,3.7092,3.0247,3.7861,3.6495,2.0262,3.7503,3.3264,3.5916,3.8555,2.9912,3.0122,3.398,3.2677,3.1123,3.8705,3.5341,3.1529,3.2118,3.2938,3.2605,3.2385,3.6217,3.662,2.9874,3.6178,3.5501,3.7036,3.3536,3.6296,3.2274,3.9024
0051105,3.4348,3.4183,2.8149,3.4082,3.2626,1.8528,3.0538,3.2279,3.4009,3.56,2.5864,2.7181,3.2164,3.095,2.7842,3.527,3.3717,2.9642,2.947,2.8181,2.7867,2.9541,3.4418,3.2871,2.7917,3.5103,3.3063,3.1887,3.1421,3.2856,2.9574,3.4289,3.3742,3.3177,2.7212,3.4194,3.2412,1.7823,3.0681,3.1403,3.4053,3.4075,2.6384,2.5342,3.0424,3.0646,2.8757,3.4998,3.3558,2.7834,2.8708,2.8086,2.7733,2.9709,3.4085,3.1078,2.8697,3.4566,3.2376,3.2518,3.0981,3.1694,2.9617,3.3032
