SubjID,CaudalMiddleFrontal.L,EntorhinalCortex.L,PostcentralGyrus.L,LateralFrontalTriangularis.L,SupramarginalGyrus.L,MiddleFILLING.L,Insula.L,LateralOrbitofrontal.L,LateralFrontalOrbitalis.L,MiddleTemporal.L,Pericalcarine.L,Parahippocampal.L,ParacentralGyrus.L,MedialOrbitofrontal.L,Cuneus.L,InferiorTemporal.L,RostralMiddleFrontal.L,RostralAnteriorCingulate.L,IsthmusCingulateGyrus.L,InferiorOccipitalCortex.L,LingualGyrus.L,SuperiorParietal.L,LateralFrontalOpercularis.L,FusiformGyrus.L,CaudalAnteriorCingulate.L,SuperiorFrontalGyrus.L,Precuneus.L,TransverseTemporal.L,PrecentralGyrus.L,InferiorParietal.L,PosteriorCingulate.L,SuperiorTemporal.L,CaudalMiddleFrontal.R,EntorhinalCortex.R,PostcentralGyrus.R,LateralFrontalTriangularis.R,SupramarginalGyrus.R,MiddleFILLING.R,Insula.R,LateralOrbitofrontal.R,LateralFrontalOrbitalis.R,MiddleTemporal.R,Pericalcarine.R,Parahippocampal.R,ParacentralGyrus.R,MedialOrbitofrontal.R,Cuneus.R,InferiorTemporal.R,RostralMiddleFrontal.R,RostralAnteriorCingulate.R,IsthmusCingulateGyrus.R,InferiorOccipitalCortex.R,LingualGyrus.R,SuperiorParietal.R,LateralFrontalOpercularis.R,FusiformGyrus.R,CaudalAnteriorCingulate.R,SuperiorFrontalGyrus.R,Precuneus.R,TransverseTemporal.R,PrecentralGyrus.R,InferiorParietal.R,PosteriorCingulate.R,SuperiorTemporal.R
0050356,3.3381,3.1045,2.8364,3.2619,3.4766,1.8896,3.4232,3.1563,3.0607,3.4104,2.8846,2.4778,3.0845,3.0748,2.9204,3.2401,3.4689,2.9538,3.3287,2.7859,2.925,3.149,3.2702,3.0244,2.8179,3.4101,3.4459,3.3198,3.0464,3.2429,3.3754,3.3513,3.232,3.5734,2.8432,3.2652,3.3135,1.8664,3.5492,3.1562,3.0989,3.5577,2.7216,2.6868,3.1195,3.2228,2.853,3.4343,3.5154,3.2655,2.9435,2.7636,2.7879,2.9923,3.3903,3.0492,3.1476,3.4223,3.2705,3.39,2.8704,3.25,3.2099,3.4776
0050195,3.3456,3.7152,2.8752,3.072,3.2551,2.0704,3.8413,3.507,3.3913,3.5925,2.8133,2.9281,3.3419,3.4475,2.9633,3.6177,3.2033,3.5707,3.1791,2.809,3.0359,2.9563,3.325,3.4196,3.5317,3.4581,3.4393,3.329,3.0533,3.0732,3.3315,3.5387,3.1509,3.746,2.8985,3.1606,3.3309,2.004,3.8969,3.5062,3.5762,3.8111,2.78,3.0602,3.3077,3.2953,3.1843,3.6965,3.2059,3.1442,3.2029,3.0502,3.1098,3.0909,3.5159,3.5297,3.194,3.4583,3.4631,3.4319,3.1283,3.3928,3.0617,3.6923
0050194,3.4266,3.7196,2.951,3.6589,3.59,1.9325,3.9233,3.5926,3.7839,3.5749,3.2508,2.8785,3.2052,3.1434,3.1315,3.5223,3.5134,2.8327,3.1508,3.2025,3.1939,3.232,3.5434,3.3466,2.8599,3.6981,3.4518,3.5308,3.2148,3.548,2.9173,3.6786,3.4934,4.1064,2.952,3.6858,3.6622,2.0403,4.2966,3.8426,3.9735,3.8889,3.3893,3.2552,3.4269,3.3574,3.5027,4.0326,3.7218,3.0255,3.2143,3.6004,3.4594,3.3548,3.6365,3.7082,2.78,3.6569,3.6785,3.5061,3.3466,3.7366,2.9725,3.7623
