"vertex_name","lasso_coef","asym_him_coef","asym_mip_coef","mip_coef","him_coef"
"vertex196",0,0,0,0,0
"vertex197",0,0,0,0,0
"vertex198",0,0,0,0,0
"vertex199",0,0,0,0,0
"vertex200",0,0,0,0,0
"vertex201",0,0,0,0,0
"vertex202",0,0,0,0,0
"vertex203",0,0,0,0,0
"vertex204",0,0,0,0,0
"vertex205",0,0,0,0,0
"vertex206",0,0,0,0,0
"vertex207",0,0,0,0,0
"vertex208",0,0,0,0,0
"vertex209",0,0,0,0,0
"vertex210",0,0,0,0,0
"vertex211",0,0,0,0,0
"vertex212",0,0,0,0,0
"vertex213",0,0,0,0,0
"vertex214",0,0,0,0,0
"vertex215",0,0,0,0,0
"vertex216",0,0,0,0,0
"vertex217",0,0,0,0,0
"vertex218",0,0,0,0,0
"vertex219",0,0,0,0,0
"vertex220",0,0,0,0,0
"vertex221",0,0,0,0,0
"vertex222",0,0,0,0,0
"vertex223",0,0,0,0,0
"vertex224",0,0,0,0,0
"vertex225",0,0,0,0,0
"vertex226",0,0,0,0,0
"vertex227",0,0,0,0,0
"vertex228",0,0,0,0,0
"vertex229",0,0,0,0,0
"vertex230",0,0,0,0,0
"vertex231",0,0,0,0,0
"vertex232",0,0,0,0,0
"vertex233",0,0,0,0,0
"vertex234",0,0,0,0,0
"vertex235",0,0,0,0,0
"vertex236",0,0,0,0,0
"vertex237",0,0,0,0,0
"vertex238",0,0,0,0,0
"vertex239",0,0,0,0,0
"vertex240",0,0,0,0,0
"vertex241",0,0,0,0,0
"vertex242",0,0,0,0,0
"vertex243",0,0,0,0,0
"vertex244",0,0,0,0,0
"vertex245",0,0,0,0,0
"vertex246",0,0,0,0,0
"vertex247",0,0,0,0,0
"vertex248",0,0,0,0,0
"vertex249",0,0,0,0,0
"vertex250",-0.113018391221476,0,0,0,0
"vertex251",0,0,0,0,0
"vertex252",0,0,0,0,0
"vertex253",0,0,0,0,0
"vertex254",0,0,0,0,0
"vertex255",0,0,0,0,0
"vertex256",0,0,0,0,0
"vertex257",0,0,0,0,0
"vertex258",0,0,0,0,0
"vertex259",0,0,0,0,0
"vertex260",0,0,0,0,0
"vertex261",0,0,0,0,0
"vertex262",0,0,0,0,0
"vertex263",0,0,0,0,0
"vertex264",0,0,0,0,0
"vertex265",0,0,0,0,0
"vertex266",0,0,0,0,0
"vertex267",0,0,0,0,0
"vertex268",0,0,0,0,0
"vertex269",0,0,0,0,0
"vertex270",0,0,0,0,0
"vertex271",0,0,0,0,0
"vertex272",0,0,0,0,0
"vertex273",0,0,0,0,0
"vertex274",0,0,0,0,0
"vertex275",0,0,0,0,0
"vertex276",0,0,0,0,0
"vertex277",0,0,0,0,0
"vertex278",0,0,0,0,0
"vertex279",0,0,0,0,0
"vertex280",0,0,0,0,0
"vertex281",0,0,0,0,0
"vertex282",0,0,0,0,0
"vertex283",0,0,0,0,0
"vertex284",0,0,0,0,0
"vertex285",0,0,0,0,0
"vertex286",0,0,0,0,0
"vertex287",0,0,0,0,0
"vertex288",0,0,0,0,0
"vertex289",0,0,0,0,0
"vertex290",0,0,0,0,0
"vertex291",0,0,0,0,0
"vertex292",0,0,0,0,0
"vertex293",0,0,0,0,0
"vertex294",0,0,0,0,0
"vertex295",0,0,0,0,0
"vertex296",0,0,0,0,0
"vertex297",0,0,0,0,0
"vertex298",0,0,0,0,0
"vertex299",0,0,0,0,0
"vertex300",0,0,0,0,0
"vertex301",0,0,0,0,0
"vertex302",0,0,0,0,0
"vertex303",0,0,0,0,0
"vertex304",0,0,0,0,0
"vertex305",0,0,0,0,0
"vertex306",0,0,0,0,0
"vertex307",0,0,0,0,0
"vertex308",0,0,0,0,0
"vertex309",0,0,0,0,0
"vertex310",0,0,0,0,0
"vertex311",0,0,0,0,0
"vertex312",0,0,0,0,0
"vertex313",0,0,0,0,0
"vertex314",0,0,0,0,0
"vertex315",0,0,0,0,0
"vertex316",0,0,0,0,0
"vertex317",0,0,0,0,0
"vertex318",0,0,0,0,0
"vertex319",0,0,0,0,0
"vertex320",0,0,0,0,0
"vertex321",0,0,0,0,0
"vertex322",0,0,0,0,0
"vertex323",0,0,0,0,0
"vertex324",0,0,0,0,0
"vertex325",0,0,0,0,0
"vertex326",0,0,0,0,0
"vertex327",0,0,0,0,0
"vertex328",0,0,0,0,0
"vertex329",0,0,0,0,0
"vertex330",0,0,0,0,0
"vertex331",0,0,0,0,0
"vertex332",0,0,0,0,0
"vertex333",0,0,0,0,0
"vertex334",0,0,0,0.094690815803565,0.094690815803565
"vertex335",0,0,0,0,0
"vertex336",0,0,0,0,0
"vertex337",0,0,0,0,0
"vertex338",0,0,0,0,0
"vertex339",0,0,0,0,0
"vertex340",0,0,0,0,0
"vertex341",0,0,0,0,0
"vertex342",0,0,0,0,0
"vertex343",0,0,0,0,0
"vertex344",0,0,0,0,0
"vertex345",0,0,0,0,0
"vertex346",0,0,0,0,0
"vertex347",0,0,0,0,0
"vertex348",0,0,0,0,0
"vertex349",0,0,0,0,0
"vertex350",0,0,0,0,0
"vertex351",0,0,0,0,0
"vertex352",0,0.0744977562639721,0,0,0
"vertex353",0,0,0,0,0
"vertex354",0,0,0,0,0
"vertex355",0,0,0,0,0
"vertex356",0,0,0,0,0
"vertex357",0,0,0,0,0
"vertex358",0,0,0,0,0
"vertex359",0,0,0,0,0
"vertex360",0,0,0,0,0
"vertex361",0,0,0,0,0
"vertex362",0,0,0,0,0
"vertex363",0,0,0,0,0
"vertex364",0,0,0,0,0
"vertex365",0,0,0,0,0
"vertex366",0,0,0,0,0
"vertex367",0,0,0,0,0
"vertex368",0,0,0,0,0
"vertex369",0,0,0,0,0
"vertex370",0,0,0,0,0
"vertex371",0,0,0,0,0
"vertex372",0,0,0,0,0
"vertex373",0,0,0,0,0
"vertex374",0,0,0,0,0
"vertex375",0,0,0,0,0
"vertex376",0,0,0,0,0
"vertex377",0,0,0,0,0
"vertex378",0,0,0,0,0
"vertex379",0,0,0,0,0
"vertex380",0,0,0,0,0
"vertex381",0,0,0,0,0
"vertex382",0,0,0,0,0
"vertex383",0,0,0,0,0
"vertex384",0,0,0,0,0
"vertex385",0,0,0,0,0
"vertex386",0,0,0,0,0
"vertex387",0,0,0,0,0
"vertex388",0,0,0,0,0
"vertex389",0,0,0,0,0
"vertex390",0,0,0,0,0
"vertex391",0,0,0,0,0
"vertex392",0,0,0,0,0
"vertex393",0,0,0,0,0
"vertex394",0,0,0,0,0
"vertex395",0,0,0,0,0
"vertex396",0,0,0,0,0
"vertex397",0,0,0,0,0
"vertex398",0,0,0,0,0
"vertex399",0,0,0,0,0
"vertex400",0,0,0,0,0
"vertex401",0,0,0,0,0
"vertex402",0,0,0,0,0
"vertex403",0,0,0,0,0
"vertex404",0,0,0,0,0
"vertex405",0,0,0,0,0
"vertex406",0,0,0,0,0
"vertex407",0,0,0,0,0
"vertex408",0,0,0,0,0
"vertex409",0,0,0,0,0
"vertex410",0,0,0,0,0
"vertex411",0,0,0,0,0
"vertex412",0,0,0,0,0
"vertex413",0,0,0,0,0
"vertex414",0,0,0,0,0
"vertex415",0,0,0,0,0
"vertex416",0,0,0,0,0
"vertex417",0,0,0,0,0
"vertex418",0,0,0,0,0
"vertex419",0,0,0,0,0
"vertex420",0,0,0,0,0
"vertex421",0,0,0,0,0
"vertex422",0,0,0,0,0
"vertex423",0,0,0,0,0
"vertex424",0,0,0,0,0
"vertex425",0,0,0,0,0
"vertex426",0,0,0,0,0
"vertex427",0,0,0,0,0
"vertex428",0,0,0,0,0
"vertex429",0,0,0,0,0
"vertex430",0,0,0,0,0
"vertex431",0,0,0,0,0
